Date,HSI Close
9/1/2005,15143.75
11/1/2005,14572.26
12/1/2005,15068.03
2/2/2005,13555.8
3/2/2005,13850.78
6/2/2005,13814.58
8/2/2005,15137.08
9/2/2005,15221.89
11/2/2005,14597.48
12/2/2005,15200.38
1/3/2005,14237.42
2/3/2005,13515.33
3/3/2005,13892.37
5/3/2005,13893.98
6/3/2005,13818.45
8/3/2005,15118.5
10/3/2005,15394.39
11/3/2005,14601.59
1/4/2005,14045.9
2/4/2005,13585.17
3/4/2005,13730.78
4/4/2005,13513.41
5/4/2005,13945.05
7/4/2005,14177.87
8/4/2005,15111.54
10/4/2005,15382.21
11/4/2005,14585.79
1/5/2005,13764.36
5/5/2005,14061.7
7/5/2005,14124.8
8/5/2005,15051.32
9/5/2005,15227.83
10/5/2005,15161.03
12/5/2005,15158.82
1/6/2005,13712.04
4/6/2005,13562.26
5/6/2005,14033.96
6/6/2005,13860.55
7/6/2005,14149.93
9/6/2005,15160.78
10/6/2005,14839.3
12/6/2005,14990.61
1/7/2005,13574.86
2/7/2005,13795
3/7/2005,13771.95
4/7/2005,13602.35
6/7/2005,13837.29
7/7/2005,14030.81
9/7/2005,15224.57
10/7/2005,14847.79
11/7/2005,14365.79
12/7/2005,15134.95
2/8/2005,13845.63
3/8/2005,13881.71
4/8/2005,13666.72
6/8/2005,13898.55
7/8/2005,13964.47
8/8/2005,15108.94
9/8/2005,15166.17
11/8/2005,14403.2
12/8/2005,14879.16
3/9/2005,13941.47
5/9/2005,14085.09
6/9/2005,13898.31
8/9/2005,15047.84
9/9/2005,15165.77
11/9/2005,14597.55
12/9/2005,14910.51
1/10/2005,13531.39
3/10/2005,13856.02
5/10/2005,14018.38
6/10/2005,13934.76
8/10/2005,15346.41
10/10/2005,14898.77
11/10/2005,14633.33
1/11/2005,13509.25
3/11/2005,13890.93
4/11/2005,13659.93
5/11/2005,13939.8
7/11/2005,14157.24
8/11/2005,15445.2
11/11/2005,14740.6
1/12/2005,13565.31
4/12/2005,13658.05
5/12/2005,13968.28
7/12/2005,14146.95
8/12/2005,15450.95
9/12/2005,15199.79
10/12/2005,14575.02
12/12/2005,14984.4
2/1/2006,15742.3
3/1/2006,15818.09
6/1/2006,15645.27
8/1/2006,16911.37
9/1/2006,17423.72
11/1/2006,18453.65
12/1/2006,18690.82
2/2/2006,15691.69
3/2/2006,15882.45
5/2/2006,16868.04
6/2/2006,15912.71
8/2/2006,17032.75
11/2/2006,18714.78
1/3/2006,14944.77
2/3/2006,15429.73
3/3/2006,15802
4/3/2006,16063.75
5/3/2006,17026.98
7/3/2006,16326.66
8/3/2006,17048.42
10/3/2006,17606.53
11/3/2006,18749.69
1/4/2006,15200.06
4/4/2006,16100.09
5/4/2006,17013.93
7/4/2006,16368.98
8/4/2006,16887.8
9/4/2006,17513.88
10/4/2006,17629.21
12/4/2006,18702.73
1/5/2006,15271.13
6/5/2006,16016.23
7/5/2006,16267.18
9/5/2006,17438.8
10/5/2006,17907.67
12/5/2006,18944.19
1/6/2006,15344.44
2/6/2006,15548.06
3/6/2006,15811.83
4/6/2006,16411.13
6/6/2006,15973.11
7/6/2006,16440.99
9/6/2006,17258.51
10/6/2006,17903.39
11/6/2006,18936.55
12/6/2006,19026.36
2/7/2006,15517.01
3/7/2006,15602.36
4/7/2006,16471.78
6/7/2006,15816.55
7/7/2006,16459.78
8/7/2006,16953.55
9/7/2006,17096.44
11/7/2006,18939.31
12/7/2006,18842.99
2/8/2006,15373.44
3/8/2006,15493.09
5/8/2006,17301.79
6/8/2006,15450.11
8/8/2006,17048.2
9/8/2006,17145.76
11/8/2006,18811.24
12/8/2006,18739.99
1/9/2006,15547.43
2/9/2006,15413.43
3/9/2006,15510.13
5/9/2006,17133.99
6/9/2006,15628.69
8/9/2006,17346.58
10/9/2006,17675.24
11/9/2006,18952.86
1/10/2006,15569.91
2/10/2006,15425.95
3/10/2006,15445.05
4/10/2006,16521.59
5/10/2006,17080.59
7/10/2006,16603.81
8/10/2006,17222.14
10/10/2006,17823.7
11/10/2006,18891.14
1/11/2006,15650.88
4/11/2006,16475.81
5/11/2006,17140.78
7/11/2006,16490.13
8/11/2006,17249.95
9/11/2006,16948.59
10/11/2006,17862.79
12/11/2006,18924.66
1/12/2006,15719.37
4/12/2006,16310.76
5/12/2006,16901.85
6/12/2006,15621.44
7/12/2006,16522.21
9/12/2006,17075.4
10/12/2006,17873.09
12/12/2006,18907.17
2/1/2007,20430.16
3/1/2007,19346.6
6/1/2007,20602.87
8/1/2007,22455.36
11/1/2007,31492.88
1/2/2007,20310.18
2/2/2007,20563.68
3/2/2007,19442.01
4/2/2007,19809.7
5/2/2007,20388.49
8/2/2007,22443.25
10/2/2007,28199.75
11/2/2007,30468.34
1/3/2007,20413.39
4/3/2007,20002.7
5/3/2007,20681.58
7/3/2007,22151.14
8/3/2007,22538.44
9/3/2007,23904.09
10/3/2007,27479.94
12/3/2007,28658.42
1/4/2007,20025.58
4/4/2007,20209.71
5/4/2007,20841.08
6/4/2007,20729.59
7/4/2007,22218.55
9/4/2007,23886.07
10/4/2007,26973.98
12/4/2007,28879.59
1/5/2007,20211.28
2/5/2007,20455.62
3/5/2007,18664.88
6/5/2007,20842.15
7/5/2007,22252.99
9/5/2007,24069.17
10/5/2007,27831.52
11/5/2007,28942.32
12/5/2007,29345.45
2/6/2007,20655.2
3/6/2007,19058.56
6/6/2007,20818.61
7/6/2007,22531.74
8/6/2007,21936.73
9/6/2007,24050.4
11/6/2007,29438.13
12/6/2007,29558.92
2/7/2007,20679.69
3/7/2007,18918.64
5/7/2007,20896.64
6/7/2007,20800.16
8/7/2007,21907.99
9/7/2007,23982.61
11/7/2007,29708.93
12/7/2007,28842.47
1/8/2007,20029.66
2/8/2007,20735.05
3/8/2007,19175.17
5/8/2007,20706.35
6/8/2007,20509.15
8/8/2007,22536.67
10/8/2007,27770.29
11/8/2007,28760.22
1/9/2007,19898.08
2/9/2007,20677.66
3/9/2007,19134.88
5/9/2007,20844.78
7/9/2007,22817.43
8/9/2007,22439.36
10/9/2007,28228.04
11/9/2007,28783.41
1/10/2007,19568.34
4/10/2007,20347.87
5/10/2007,20746.27
7/10/2007,22885.84
8/10/2007,21792.71
9/10/2007,23999.7
10/10/2007,28569.33
12/10/2007,28501.1
1/11/2007,19385.37
4/11/2007,20449.43
5/11/2007,20468.21
6/11/2007,20615.49
7/11/2007,22607.02
9/11/2007,23952.24
10/11/2007,29133.02
12/11/2007,29226.84
1/12/2007,19613.41
2/12/2007,20593.41
3/12/2007,19442.42
4/12/2007,20380.21
6/12/2007,20636.39
7/12/2007,22809.02
9/12/2007,24310.14
10/12/2007,28838.37
11/12/2007,27665.73
12/12/2007,28521.06
2/1/2008,24123.58
4/1/2008,23137.46
8/1/2008,22862.6
9/1/2008,20906.31
12/1/2008,14108.84
1/2/2008,27560.52
4/2/2008,23872.43
5/2/2008,26241.02
6/2/2008,24831.36
7/2/2008,21704.45
9/2/2008,21042.46
10/2/2008,18211.11
12/2/2008,13405.85
1/3/2008,26887.28
3/3/2008,23584.97
4/3/2008,24264.63
6/3/2008,24375.76
7/3/2008,21242.78
9/3/2008,20585.06
10/3/2008,17682.4
11/3/2008,14344.37
12/3/2008,13588.66
1/4/2008,27519.69
2/4/2008,25032.08
3/4/2008,23119.87
6/4/2008,24123.25
7/4/2008,21423.82
8/4/2008,22514.92
9/4/2008,20389.48
11/4/2008,14384.34
12/4/2008,13509.78
2/5/2008,24808.7
3/5/2008,23114.34
5/5/2008,26183.95
6/5/2008,24255.29
8/5/2008,21949.75
9/5/2008,19933.28
11/5/2008,14840.16
12/5/2008,13846.09
2/6/2008,23469.46
3/6/2008,23342.73
5/6/2008,26262.13
6/6/2008,24402.18
10/6/2008,16803.76
11/6/2008,13790.04
1/7/2008,27179.49
3/7/2008,22501.33
4/7/2008,24578.76
5/7/2008,25610.21
7/7/2008,21913.06
8/7/2008,22104.2
11/7/2008,14243.43
1/8/2008,27112.9
4/8/2008,24311.69
5/8/2008,25449.79
7/8/2008,21220.81
8/8/2008,21885.21
9/8/2008,20794.27
10/8/2008,15431.73
12/8/2008,15044.87
1/9/2008,27615.85
4/9/2008,23984.57
5/9/2008,25063.17
7/9/2008,21805.81
9/9/2008,20491.11
10/9/2008,15943.24
12/9/2008,14753.22
1/10/2008,27230.86
3/10/2008,22705.05
4/10/2008,24187.1
6/10/2008,23375.52
7/10/2008,21821.78
9/10/2008,19999.78
10/10/2008,14796.87
11/10/2008,14744.63
12/10/2008,15577.74
1/11/2008,26867.01
2/11/2008,22616.11
3/11/2008,22995.35
4/11/2008,24667.79
6/11/2008,23327.6
7/11/2008,22184.55
8/11/2008,21859.34
9/11/2008,19388.72
11/11/2008,14040.9
12/11/2008,15613.9
2/12/2008,22921.67
3/12/2008,23422.76
6/12/2008,23023.86
8/12/2008,21640.89
9/12/2008,19352.9
11/12/2008,13939.09
12/12/2008,14758.39
4/1/2009,13519.54
6/1/2009,18888.59
9/1/2009,19872.3
12/1/2009,22113.15
1/2/2009,15042.81
2/2/2009,12861.49
3/2/2009,12317.46
4/2/2009,14521.97
6/2/2009,18389.08
7/2/2009,18178.05
9/2/2009,19522
10/2/2009,20375.49
11/2/2009,21620.19
12/2/2009,22289.57
2/3/2009,12776.89
3/3/2009,12033.88
4/3/2009,14545.69
6/3/2009,18576.47
7/3/2009,18203.4
8/3/2009,20807.26
9/3/2009,19761.68
11/3/2009,21240.06
12/3/2009,22553.87
2/4/2009,13063.89
3/4/2009,12331.15
5/4/2009,16381.05
6/4/2009,18502.77
8/4/2009,20796.43
9/4/2009,20318.62
11/4/2009,21614.77
12/4/2009,22498.15
1/5/2009,15563.31
2/5/2009,13178.9
3/5/2009,12211.24
5/5/2009,16430.08
6/5/2009,18679.53
8/5/2009,20494.77
10/5/2009,20429.07
11/5/2009,21479.08
1/6/2009,15509.51
2/6/2009,13655.04
3/6/2009,11921.52
4/6/2009,14998.04
5/6/2009,16834.57
7/6/2009,17979.41
8/6/2009,20899.24
10/6/2009,20811.53
11/6/2009,21829.72
1/7/2009,14987.46
4/7/2009,14928.97
5/7/2009,17217.89
7/7/2009,17862.27
8/7/2009,20375.37
9/7/2009,20629.31
10/7/2009,21241.59
12/7/2009,22324.96
1/8/2009,14415.91
