Date, Open, High, Low, Close
9/5/2019,26512.86,26697.85,26283.12,26515.53
9/4/2019,25675.16,26654.21,25675.16,26523.23
9/3/2019,25546.32,25736.05,25498.11,25527.85
9/2/2019,25627.83,25662.31,25502.7,25626.55
08/30/19,26011.64,26011.64,25536.15,25724.73
08/29/19,25606.33,25714.78,25372.49,25703.5
08/28/19,25767.08,25830.64,25596.08,25615.48
08/27/19,25715.98,25764.61,25581.73,25664.07
08/26/19,25322,25692.28,25249.51,25680.33
08/23/19,26057.88,26241.22,25940.44,26179.33
08/22/19,26272.91,26288.24,25977.67,26048.72
08/21/19,26160.54,26318.13,26075.91,26270.04
08/20/19,26256.54,26347.23,26149.4,26231.54
08/19/19,25994.8,26356.22,25994.8,26291.84
08/16/19,25484.96,25798.11,25314.27,25734.22
08/15/19,24945.74,25552.13,24899.93,25495.46
08/14/19,25711.1,25717.98,25197.38,25302.28
08/13/19,25536.62,25616.71,25270.91,25281.3
8/12/2019,25869.48,26069.23,25824.72,25824.72
8/9/2019,26278.92,26313.78,25939.3,25939.3
8/8/2019,25999.45,26317.42,25999.45,26120.77
8/7/2019,25977.72,26025.44,25738.8,25997.03
8/6/2019,25472.43,26042.23,25397.35,25976.24
8/5/2019,26480.47,26502.61,26086.86,26151.32
8/2/2019,26950.53,27043.46,26868.96,26918.58
8/1/2019,27582.21,27754.04,27495.89,27565.7
07/31/19,27931.28,27939.72,27701.44,27777.75
07/30/19,28059.82,28274.65,28059.82,28146.5
07/29/19,28262.8,28302.66,27945.41,28106.41
07/26/19,28406.07,28487.64,28338.3,28397.74
07/25/19,28575.49,28628.51,28517.01,28594.3
07/24/19,28578.14,28764.5,28515.92,28524.04
07/23/19,28392.04,28489.29,28313.79,28466.48
07/22/19,28612.28,28649.44,28303.55,28371.26
07/19/19,28585.15,28809.59,28551.2,28765.4
07/18/19,28393.04,28511.65,28376.5,28461.66
07/17/19,28463.77,28593.17,28377.34,28593.17
07/16/19,28583.93,28634.65,28489.41,28619.62
07/15/19,28303.36,28567.25,28071.19,28554.88
7/12/2019,28401.87,28603.87,28399.66,28471.62
7/11/2019,28347.86,28582.69,28347.86,28431.8
7/10/2019,28245.09,28311.78,28144.87,28204.69
7/9/2019,28299.73,28312.97,28080.73,28116.28
7/8/2019,28513.14,28541.1,28194.07,28331.69
7/5/2019,28785.53,28880.58,28714.92,28774.83
7/4/2019,28891.97,29007.98,28776.48,28795.77
7/3/2019,28781.97,28891.89,28721.21,28855.14
7/2/2019,28904.04,28959.06,28768.54,28875.56
06/28/19,28632.59,28632.59,28416.96,28542.62
06/27/19,28352.94,28621.42,28287.34,28621.42
06/26/19,28046.16,28267.98,27985.98,28221.98
06/25/19,28447.96,28470.1,28066.13,28185.98
06/24/19,28400.63,28634.48,28358.06,28513
06/21/19,28581.51,28581.51,28359.25,28473.71
06/20/19,28308.85,28563.08,28258.02,28550.43
06/19/19,28224.87,28224.87,28022.49,28202.14
06/18/19,27289.7,27584.12,27201.02,27498.77
06/17/19,27252.45,27503.1,27227.16,27227.16
06/14/19,27180.74,27275.88,27051.75,27118.35
06/13/19,27217.72,27294.71,26825.35,27294.71
6/12/2019,27603.12,27603.12,27222.03,27308.46
6/11/2019,27677.06,27857.85,27577.91,27789.34
6/10/2019,27206.61,27606.42,27155.03,27578.64
6/6/2019,26935.87,26984.02,26837.67,26965.28
6/5/2019,27116.08,27119.48,26803.66,26895.44
6/4/2019,26994.08,26994.08,26671.9,26761.52
