"基金名稱","中港動態資產配置基金"	
"貨幣","HKD"	
"成立日期","2017/07/04"	
"計劃名稱","友邦強積金優選計劃"	
	
"日期","基金價格"	
"2018/11/07","106.99"	
"2018/11/08","106.91"	
"2018/11/09","106.14"	
"2018/11/10","106.14"	
"2018/11/11","106.14"	
"2018/11/12","106.09"	
"2018/11/13","106.26"	
"2018/11/14","106.12"	
"2018/11/15","106.77"	
"2018/11/16","106.94"	
"2018/11/17","106.94"	
"2018/11/18","106.94"	
"2018/11/19","107.14"	
"2018/11/20","106.48"	
"2018/11/21","106.66"	
"2018/11/22","106.74"	
"2018/11/23","106.5"	
"2018/11/24","106.5"	
"2018/11/25","106.5"	
"2018/11/26","107.05"	
"2018/11/27","106.97"	
"2018/11/28","107.36"	
"2018/11/29","107.21"	
"2018/11/30","107.24"	
"2018/12/01","107.24"	
"2018/12/02","107.24"	
"2018/12/03","108.18"	
"2018/12/04","108.33"	
"2018/12/05","107.76"	
"2018/12/06","106.82"	
"2018/12/07","106.65"	
"2018/12/08","106.65"	
"2018/12/09","106.65"	
"2018/12/10","106.3"	
"2018/12/11","106.34"	
"2018/12/12","106.74"	
"2018/12/13","107.17"	
"2018/12/14","106.59"	
"2018/12/15","106.59"	
"2018/12/16","106.59"	
"2018/12/17","106.57"	
"2018/12/18","106.29"	
"2018/12/19","106.33"	
"2018/12/20","106.02"	
"2018/12/21","106.21"	
"2018/12/22","106.21"	
"2018/12/23","106.21"	
"2018/12/24","106.11"	
"2018/12/25","106.11"	
"2018/12/26","106.11"	
"2018/12/27","105.95"	
"2018/12/28","106.12"	
"2018/12/29","106.12"	
"2018/12/30","106.12"	
"2018/12/31","106.52"	
