"基金名稱","富達穩定資本基金"	
"貨幣","HKD"	
"成立日期","2010/12/01"	
"計劃名稱","友邦強積金優選計劃"	
	
"日期","基金價格"	
"2014/12/04","111.21"	
"2014/12/05","110.93"	
"2014/12/06","110.93"	
"2014/12/07","110.93"	
"2014/12/08","110.91"	
"2014/12/09","110.9"	
"2014/12/10","110.71"	
"2014/12/11","110.33"	
"2014/12/12","110.42"	
"2014/12/13","110.42"	
"2014/12/14","110.42"	
"2014/12/15","109.94"	
"2014/12/16","110.02"	
"2014/12/17","109.83"	
"2014/12/18","110.01"	
"2014/12/19","110.38"	
"2014/12/20","110.38"	
"2014/12/21","110.38"	
"2014/12/22","110.65"	
"2014/12/23","110.27"	
"2014/12/24","110.26"	
"2014/12/25","110.26"	
"2014/12/26","110.26"	
"2014/12/27","110.26"	
"2014/12/28","110.26"	
"2014/12/29","110.71"	
"2014/12/30","110.61"	
"2014/12/31","110.51"	
