"基金名稱","大中華股票基金"	
"貨幣","HKD"	
"成立日期","2004/12/01"	
"計劃名稱","友邦強積金優選計劃"	
	
"日期","基金價格"	
"2008/11/02","108.66"	
"2008/11/03","110.85"	
"2008/11/04","111.13"	
"2008/11/05","113.61"	
"2008/11/06","106.46"	
"2008/11/07","108.87"	
"2008/11/08","108.87"	
"2008/11/09","108.87"	
"2008/11/10","112.29"	
"2008/11/11","108.28"	
"2008/11/12","107.52"	
"2008/11/13","102.87"	
"2008/11/14","104.86"	
"2008/11/15","104.86"	
"2008/11/16","104.86"	
"2008/11/17","104.84"	
"2008/11/18","100.65"	
"2008/11/19","99.88"	
"2008/11/20","95.86"	
"2008/11/21","98.25"	
"2008/11/22","98.25"	
"2008/11/23","98.25"	
"2008/11/24","97.76"	
"2008/11/25","100.42"	
"2008/11/26","103.19"	
"2008/11/27","105.47"	
"2008/11/28","106.71"	
"2008/11/29","106.71"	
"2008/11/30","106.71"	
"2008/12/01","108.61"	
"2008/12/02","104.22"	
"2008/12/03","104.98"	
"2008/12/04","104.02"	
"2008/12/05","105.35"	
"2008/12/06","105.35"	
"2008/12/07","105.35"	
"2008/12/08","112.56"	
"2008/12/09","111.99"	
"2008/12/10","117.78"	
"2008/12/11","117.87"	
"2008/12/12","112.34"	
"2008/12/13","112.34"	
"2008/12/14","112.34"	
"2008/12/15","114.99"	
"2008/12/16","115.64"	
"2008/12/17","118.59"	
"2008/12/18","120.01"	
"2008/12/19","118.57"	
"2008/12/20","118.57"	
"2008/12/21","118.57"	
"2008/12/22","114.56"	
"2008/12/23","110.46"	
"2008/12/24","110.46"	
"2008/12/25","110.46"	
"2008/12/26","110.46"	
"2008/12/27","110.46"	
"2008/12/28","110.46"	
"2008/12/29","111.29"	
"2008/12/30","112.42"	
"2008/12/31","113.37"	
