Date,亞歐基金_Price
2015/08/24,132.31
2015/08/25,133.54
2015/08/26,135.69
2015/08/27,137.98
2015/08/28,137.64
2015/08/29,137.64
2015/08/30,137.64
2015/08/31,136.74
2015/09/01,132.36
2015/09/02,133.76
2015/09/03,133.76
2015/09/04,131.39
2015/09/05,131.39
2015/09/06,131.39
2015/09/07,131.16
2015/09/08,135.06
2015/09/09,135.54
2015/09/10,135.66
2015/09/11,135.58
2015/09/12,135.58
2015/09/13,135.58
2015/09/14,134.84
2015/09/15,135.38
2015/09/16,137.66
2015/09/17,137.55
2015/09/18,134.96
2015/09/19,134.96
2015/09/20,134.96
2015/09/21,134.62
2015/09/22,132.01
2015/09/23,131.07
2015/09/24,130.55
2015/09/25,131.59
2015/09/26,131.59
2015/09/27,131.59
2015/09/28,131.59
2015/09/29,128.56
2015/09/30,130.89
2015/10/01,130.89
2015/10/02,133.82
2015/10/03,133.82
2015/10/04,133.82
2015/10/05,136.36
2015/10/06,136.43
2015/10/07,138.6
2015/10/08,139.33
2015/10/09,139.59
2015/10/10,139.59
2015/10/11,139.59
2015/10/12,139.74
2015/10/13,138.14
2015/10/14,138.14
2015/10/15,140.6
2015/10/16,140.66
2015/10/17,140.66
2015/10/18,140.66
2015/10/19,140.27
2015/10/20,139.69
2015/10/21,139.69
2015/10/22,140.79
2015/10/23,142.31
2015/10/24,142.31
2015/10/25,142.31
2015/10/26,141.76
2015/10/27,140.81
2015/10/28,141.34
2015/10/29,140.31
2015/10/30,139.95
2015/10/31,139.95
2015/11/01,139.95
2015/11/02,140.71
2015/11/03,140.94
2015/11/04,140.8
2015/11/05,140.54
2015/11/06,139.85
2015/11/07,139.85
2015/11/08,139.85
2015/11/09,138.46
2015/11/10,138.11
2015/11/11,138.63
2015/11/12,137.8
2015/11/13,136.28
2015/11/14,136.28
2015/11/15,136.28
2015/11/16,137.24
2015/11/17,137.86
2015/11/18,138.79
2015/11/19,139.68
2015/11/20,139.69
2015/11/21,139.69
2015/11/22,139.69
2015/11/23,138.92
2015/11/24,138.83
2015/11/25,139.03
2015/11/26,139.04
2015/11/27,138.57
2015/11/28,138.57
2015/11/29,138.57
2015/11/30,138.37
2015/12/01,140.01
2015/12/02,138.89
2015/12/03,138.24
2015/12/04,138.98
2015/12/05,138.98
2015/12/06,138.98
2015/12/07,138.3
2015/12/08,136.21
2015/12/09,135.6
2015/12/10,135.51
2015/12/11,133.18
2015/12/12,133.18
2015/12/13,133.18
2015/12/14,133.17
2015/12/15,133.66
2015/12/16,136.33
2015/12/17,135.09
2015/12/18,133.83
2015/12/19,133.83
2015/12/20,133.83
2015/12/21,134.04
2015/12/22,134.87
2015/12/23,136.92
2015/12/24,136.84
2015/12/25,136.84
2015/12/26,136.84
2015/12/27,136.84
2015/12/28,136.35
2015/12/29,137.56
2015/12/30,136.83
2015/12/31,135.27
2016/01/01,135.27
2016/01/02,135.27
2016/01/03,135.27
2016/01/04,132.87
2016/01/05,132.64
2016/01/06,130.59
2016/01/07,127.72
2016/01/08,126.69
2016/01/09,126.69
2016/01/10,126.69
2016/01/11,126.5
2016/01/12,126.72
2016/01/13,125.45
2016/01/14,126.7
2016/01/15,122.78
2016/01/16,122.78
2016/01/17,122.78
2016/01/18,122.57
2016/01/19,124.0
2016/01/20,120.96
2016/01/21,121.35
2016/01/22,124.66
2016/01/23,124.66
2016/01/24,124.66
2016/01/25,123.47
2016/01/26,124.79
2016/01/27,124.28
2016/01/28,124.81
2016/01/29,127.09
2016/01/30,127.09
2016/01/31,127.09
2016/02/01,126.8
2016/02/02,124.16
2016/02/03,124.75
2016/02/04,124.98
2016/02/05,123.55
2016/02/06,123.55
2016/02/07,123.55
2016/02/08,123.55
2016/02/09,123.55
2016/02/10,123.55
2016/02/11,118.01
2016/02/12,119.53
2016/02/13,119.53
2016/02/14,119.53
2016/02/15,120.14
2016/02/16,122.35
2016/02/17,123.87
2016/02/18,123.79
2016/02/19,123.48
2016/02/20,123.48
2016/02/21,123.48
2016/02/22,124.83
2016/02/23,123.05
2016/02/24,122.42
2016/02/25,123.32
2016/02/26,123.59
2016/02/27,123.59
