Date,富達增長基金_Price
2012/07/10,89.62
2012/07/11,89.62
2012/07/12,88.67
2012/07/13,89.32
2012/07/14,89.32
2012/07/15,89.32
2012/07/16,89.5
2012/07/17,89.96
2012/07/18,89.86
2012/07/19,90.8
2012/07/20,90.23
2012/07/21,90.23
2012/07/22,90.23
2012/07/23,88.52
2012/07/24,88.04
2012/07/25,87.75
2012/07/26,88.8
2012/07/27,90.21
2012/07/28,90.21
2012/07/29,90.21
2012/07/30,90.86
2012/07/31,91.24
2012/08/01,91.24
2012/08/02,90.48
2012/08/03,91.23
2012/08/04,91.23
2012/08/05,91.23
2012/08/06,92.35
2012/08/07,92.63
2012/08/08,92.53
2012/08/09,93.0
2012/08/10,92.9
2012/08/11,92.9
2012/08/12,92.9
2012/08/13,92.6
2012/08/14,92.88
2012/08/15,92.6
2012/08/16,92.87
2012/08/17,93.25
2012/08/18,93.25
2012/08/19,93.25
2012/08/20,93.23
2012/08/21,93.42
2012/08/22,92.94
2012/08/23,93.51
2012/08/24,92.84
2012/08/25,92.84
2012/08/26,92.84
2012/08/27,92.64
2012/08/28,92.54
2012/08/29,92.53
2012/08/30,91.77
2012/08/31,91.86
2012/09/01,91.86
2012/09/02,91.86
2012/09/03,92.13
2012/09/04,91.66
2012/09/05,91.09
2012/09/06,92.12
2012/09/07,93.82
2012/09/08,93.82
2012/09/09,93.82
2012/09/10,93.62
2012/09/11,93.9
2012/09/12,94.55
2012/09/13,94.92
2012/09/14,96.7
2012/09/15,96.7
2012/09/16,96.7
2012/09/17,96.4
2012/09/18,96.02
2012/09/19,96.68
2012/09/20,95.82
2012/09/21,96.2
2012/09/22,96.2
2012/09/23,96.2
2012/09/24,95.99
2012/09/25,95.99
2012/09/26,95.04
2012/09/27,95.88
2012/09/28,95.78
2012/09/29,95.78
2012/09/30,95.78
2012/10/01,95.78
2012/10/02,95.78
2012/10/03,95.86
2012/10/04,96.33
2012/10/05,96.8
2012/10/06,96.8
2012/10/07,96.8
2012/10/08,96.03
2012/10/09,95.55
2012/10/10,95.07
2012/10/11,95.25
2012/10/12,95.34
2012/10/13,95.34
2012/10/14,95.34
2012/10/15,95.52
2012/10/16,96.35
2012/10/17,97.0
2012/10/18,97.28
2012/10/19,96.61
2012/10/20,96.61
2012/10/21,96.61
2012/10/22,96.69
2012/10/23,96.69
2012/10/24,96.03
2012/10/25,96.21
2012/10/26,95.73
2012/10/27,95.73
2012/10/28,95.73
2012/10/29,95.53
2012/10/30,95.81
2012/10/31,96.08
2012/11/01,96.74
2012/11/02,97.11
2012/11/03,97.11
2012/11/04,97.11
2012/11/05,96.81
2012/11/06,96.9
2012/11/07,96.61
2012/11/08,95.38
2012/11/09,95.19
2012/11/10,95.19
