Date,全球基金_Price
2009/02/11,54.0
2009/02/12,54.06
2009/02/13,53.69
2009/02/14,53.69
2009/02/15,53.69
2009/02/16,53.69
2009/02/17,51.06
2009/02/18,50.94
2009/02/19,50.62
2009/02/20,49.8
2009/02/21,49.8
2009/02/22,49.8
2009/02/23,47.79
2009/02/24,49.76
2009/02/25,49.13
2009/02/26,48.69
2009/02/27,48.0
2009/02/28,48.0
2009/03/01,48.0
2009/03/02,45.48
2009/03/03,45.33
2009/03/04,47.02
2009/03/05,45.19
2009/03/06,45.16
2009/03/07,45.16
2009/03/08,45.16
2009/03/09,44.46
2009/03/10,47.23
2009/03/11,47.47
2009/03/12,49.14
2009/03/13,49.45
2009/03/14,49.45
2009/03/15,49.45
2009/03/16,49.43
2009/03/17,50.84
2009/03/18,51.97
2009/03/19,51.62
2009/03/20,50.71
2009/03/21,50.71
2009/03/22,50.71
2009/03/23,54.33
2009/03/24,52.99
2009/03/25,53.42
2009/03/26,54.39
2009/03/27,53.12
2009/03/28,53.12
2009/03/29,53.12
2009/03/30,51.19
2009/03/31,51.89
2009/04/01,53.16
2009/04/02,55.21
2009/04/03,55.86
2009/04/04,55.86
2009/04/05,55.86
2009/04/06,55.08
2009/04/07,53.97
2009/04/08,54.55
2009/04/09,56.61
2009/04/10,56.61
2009/04/11,56.61
2009/04/12,56.61
2009/04/13,56.61
2009/04/14,55.91
2009/04/15,56.5
2009/04/16,57.22
2009/04/17,57.2
2009/04/18,57.2
2009/04/19,57.2
2009/04/20,54.79
2009/04/21,56.01
2009/04/22,55.63
2009/04/23,56.48
2009/04/24,57.37
2009/04/25,57.37
2009/04/26,57.37
2009/04/27,56.44
2009/04/28,56.27
2009/04/29,57.78
2009/04/30,57.82
2009/05/01,57.82
2009/05/02,57.82
2009/05/03,57.82
2009/05/04,60.89
2009/05/05,60.61
2009/05/06,61.87
2009/05/07,60.83
2009/05/08,62.69
2009/05/09,62.69
2009/05/10,62.69
2009/05/11,61.51
2009/05/12,61.5
2009/05/13,59.62
2009/05/14,60.26
2009/05/15,59.64
2009/05/16,59.64
2009/05/17,59.64
2009/05/18,61.86
2009/05/19,62.11
2009/05/20,62.09
2009/05/21,61.22
2009/05/22,61.43
2009/05/23,61.43
2009/05/24,61.43
2009/05/25,61.44
2009/05/26,62.95
2009/05/27,61.92
2009/05/28,61.92
2009/05/29,63.89
2009/05/30,63.89
2009/05/31,63.89
2009/06/01,65.64
2009/06/02,65.71
2009/06/03,64.15
2009/06/04,64.85
2009/06/05,64.59
2009/06/06,64.59
2009/06/07,64.59
2009/06/08,64.31
2009/06/09,64.77
2009/06/10,64.75
2009/06/11,65.56
2009/06/12,65.41
2009/06/13,65.41
2009/06/14,65.41
2009/06/15,63.53
2009/06/16,62.65
2009/06/17,62.51
2009/06/18,62.65
2009/06/19,63.2
2009/06/20,63.2
2009/06/21,63.2
2009/06/22,60.91
2009/06/23,60.85
2009/06/24,61.32
2009/06/25,63.11
2009/06/26,63.08
2009/06/27,63.08
2009/06/28,63.08
2009/06/29,63.62
2009/06/30,63.09
2009/07/01,63.09
2009/07/02,61.84
2009/07/03,61.84
2009/07/04,61.84
2009/07/05,61.84
2009/07/06,61.81
2009/07/07,60.34
2009/07/08,60.13
2009/07/09,60.56
2009/07/10,60.16
2009/07/11,60.16
2009/07/12,60.16
2009/07/13,61.39
2009/07/14,61.68
2009/07/15,63.84
2009/07/16,64.44
2009/07/17,64.43
2009/07/18,64.43
2009/07/19,64.43
2009/07/20,65.52
2009/07/21,65.74
2009/07/22,65.85
2009/07/23,67.24
2009/07/24,67.46
2009/07/25,67.46
2009/07/26,67.46
2009/07/27,67.66
2009/07/28,67.38
2009/07/29,66.76
2009/07/30,67.79
2009/07/31,68.19
2009/08/01,68.19
