Date,亞洲債券基金_Price
2012/06/23,102.7
2012/06/24,102.7
2012/06/25,102.6
2012/06/26,102.78
2012/06/27,102.78
2012/06/28,102.68
2012/06/29,103.37
2012/06/30,103.37
2012/07/01,103.37
2012/07/02,103.37
2012/07/03,103.66
2012/07/04,103.65
2012/07/05,103.75
2012/07/06,103.56
2012/07/07,103.56
2012/07/08,103.56
2012/07/09,103.55
2012/07/10,103.65
2012/07/11,103.74
2012/07/12,103.54
2012/07/13,103.92
2012/07/14,103.92
2012/07/15,103.92
2012/07/16,104.11
2012/07/17,104.2
2012/07/18,104.38
2012/07/19,104.57
2012/07/20,104.56
2012/07/21,104.56
2012/07/22,104.56
2012/07/23,104.46
2012/07/24,104.46
2012/07/25,104.55
2012/07/26,104.93
2012/07/27,105.03
2012/07/28,105.03
2012/07/29,105.03
2012/07/30,104.92
2012/07/31,105.2
2012/08/01,105.29
2012/08/02,105.1
2012/08/03,105.19
2012/08/04,105.19
2012/08/05,105.19
2012/08/06,105.37
2012/08/07,105.27
2012/08/08,105.17
2012/08/09,105.17
2012/08/10,105.17
2012/08/11,105.17
2012/08/12,105.17
2012/08/13,105.16
2012/08/14,105.07
2012/08/15,104.78
2012/08/16,104.49
2012/08/17,104.4
2012/08/18,104.4
2012/08/19,104.4
2012/08/20,104.39
2012/08/21,104.58
2012/08/22,104.67
2012/08/23,105.14
2012/08/24,105.05
2012/08/25,105.05
2012/08/26,105.05
2012/08/27,104.94
2012/08/28,104.94
2012/08/29,104.94
2012/08/30,104.94
2012/08/31,105.03
2012/09/01,105.03
2012/09/02,105.03
2012/09/03,105.21
2012/09/04,105.02
2012/09/05,105.02
2012/09/06,105.11
2012/09/07,105.2
2012/09/08,105.2
2012/09/09,105.2
2012/09/10,105.38
2012/09/11,105.57
2012/09/12,105.56
2012/09/13,105.47
2012/09/14,105.75
2012/09/15,105.75
2012/09/16,105.75
2012/09/17,105.45
2012/09/18,105.45
2012/09/19,105.54
2012/09/20,105.45
2012/09/21,105.63
2012/09/22,105.63
2012/09/23,105.63
2012/09/24,105.53
2012/09/25,105.62
2012/09/26,105.52
2012/09/27,105.61
2012/09/28,105.8
2012/09/29,105.8
2012/09/30,105.8
2012/10/01,105.8
2012/10/02,105.8
2012/10/03,105.79
2012/10/04,105.88
2012/10/05,105.78
2012/10/06,105.78
2012/10/07,105.78
2012/10/08,105.58
2012/10/09,105.68
2012/10/10,105.67
2012/10/11,105.77
2012/10/12,105.86
2012/10/13,105.86
2012/10/14,105.86
2012/10/15,105.94
2012/10/16,105.94
2012/10/17,106.13
2012/10/18,106.03
2012/10/19,105.93
2012/10/20,105.93
2012/10/21,105.93
2012/10/22,106.02
2012/10/23,106.02
2012/10/24,106.01
2012/10/25,106.1
2012/10/26,106.19
2012/10/27,106.19
