Date,65歲後基金_Price
2020/05/19,1.128
2020/05/20,1.1328
2020/05/21,1.1318
2020/05/22,1.1312
2020/05/23,1.1312
2020/05/24,1.1312
2020/05/25,1.1326
2020/05/26,1.1339
2020/05/27,1.1373
2020/05/28,1.1384
2020/05/29,1.1403
2020/05/30,1.1403
2020/05/31,1.1403
2020/06/01,1.1405
2020/06/02,1.143
2020/06/03,1.1434
2020/06/04,1.1419
2020/06/05,1.1439
2020/06/06,1.1439
2020/06/07,1.1439
2020/06/08,1.1476
2020/06/09,1.1484
2020/06/10,1.1497
2020/06/11,1.1439
2020/06/12,1.1437
2020/06/13,1.1437
2020/06/14,1.1437
2020/06/15,1.1437
2020/06/16,1.1476
