Date,中港基金_Price
2015/04/20,157.82
2015/04/21,162.41
2015/04/22,162.95
2015/04/23,161.78
2015/04/24,162.98
2015/04/25,162.98
2015/04/26,162.98
2015/04/27,165.64
2015/04/28,165.52
2015/04/29,164.9
2015/04/30,163.15
2015/05/01,163.15
2015/05/02,163.15
2015/05/03,163.15
2015/05/04,163.4
2015/05/05,160.73
2015/05/06,160.14
2015/05/07,157.79
2015/05/08,159.76
2015/05/09,159.76
2015/05/10,159.76
2015/05/11,160.72
2015/05/12,158.9
2015/05/13,157.99
2015/05/14,158.01
2015/05/15,160.77
2015/05/16,160.77
2015/05/17,160.77
2015/05/18,159.41
2015/05/19,160.77
2015/05/20,160.36
2015/05/21,160.15
2015/05/22,162.82
2015/05/23,162.82
2015/05/24,162.82
2015/05/25,162.82
2015/05/26,165.29
2015/05/27,163.96
2015/05/28,163.24
2015/05/29,159.93
2015/05/30,159.93
2015/05/31,159.93
2015/06/01,161.27
2015/06/02,160.34
2015/06/03,160.85
2015/06/04,160.67
2015/06/05,158.64
2015/06/06,158.64
2015/06/07,158.64
2015/06/08,159.49
2015/06/09,157.6
2015/06/10,155.52
2015/06/11,157.12
2015/06/12,159.27
2015/06/13,159.27
2015/06/14,159.27
2015/06/15,156.15
2015/06/16,154.14
2015/06/17,155.21
2015/06/18,154.79
2015/06/19,155.17
2015/06/20,155.17
2015/06/21,155.17
2015/06/22,157.19
2015/06/23,158.99
2015/06/24,159.7
2015/06/25,158.66
2015/06/26,155.46
2015/06/27,155.46
2015/06/28,155.46
2015/06/29,151.78
2015/06/30,153.54
2015/07/01,153.54
2015/07/02,153.39
2015/07/03,151.84
2015/07/04,151.84
2015/07/05,151.84
2015/07/06,147.38
2015/07/07,144.99
2015/07/08,136.67
2015/07/09,141.6
2015/07/10,144.86
2015/07/11,144.86
2015/07/12,144.86
2015/07/13,146.76
2015/07/14,145.67
2015/07/15,145.09
2015/07/16,145.68
2015/07/17,147.32
2015/07/18,147.32
2015/07/19,147.32
2015/07/20,146.9
2015/07/21,147.73
2015/07/22,146.27
2015/07/23,146.95
2015/07/24,145.26
2015/07/25,145.26
2015/07/26,145.26
2015/07/27,140.84
2015/07/28,141.61
2015/07/29,142.27
2015/07/30,141.26
2015/07/31,141.67
2015/08/01,141.67
2015/08/02,141.67
2015/08/03,140.49
2015/08/04,140.61
2015/08/05,141.17
2015/08/06,140.69
2015/08/07,141.45
2015/08/08,141.45
2015/08/09,141.45
2015/08/10,141.3
2015/08/11,141.53
2015/08/12,138.25
2015/08/13,139.04
2015/08/14,138.97
2015/08/15,138.97
2015/08/16,138.97
2015/08/17,138.09
2015/08/18,135.82
2015/08/19,134.15
2015/08/20,131.95
2015/08/21,129.91
2015/08/22,129.91
2015/08/23,129.91
2015/08/24,123.01
2015/08/25,123.71
2015/08/26,121.74
2015/08/27,126.54
2015/08/28,125.63
2015/08/29,125.63
2015/08/30,125.63
2015/08/31,125.35
2015/09/01,122.19
2015/09/02,120.88
2015/09/03,120.88
2015/09/04,120.12
2015/09/05,120.12
2015/09/06,120.12
2015/09/07,119.09
2015/09/08,123.14
2015/09/09,128.17
2015/09/10,125.26
2015/09/11,124.84
2015/09/12,124.84
2015/09/13,124.84
2015/09/14,125.29
2015/09/15,124.34
2015/09/16,127.35
2015/09/17,126.78
2015/09/18,127.87
2015/09/19,127.87
2015/09/20,127.87
2015/09/21,126.37
2015/09/22,126.16
2015/09/23,123.78
2015/09/24,122.64
2015/09/25,123.21
2015/09/26,123.21
2015/09/27,123.21
2015/09/28,123.21
2015/09/29,119.31
2015/09/30,121.1
2015/10/01,121.1
2015/10/02,124.95
2015/10/03,124.95
2015/10/04,124.95
2015/10/05,126.99
2015/10/06,126.88
2015/10/07,131.16
2015/10/08,130.22
2015/10/09,130.72
2015/10/10,130.72
2015/10/11,130.72
2015/10/12,132.59
2015/10/13,131.62
2015/10/14,130.54
2015/10/15,133.31
2015/10/16,134.22
2015/10/17,134.22
2015/10/18,134.22
2015/10/19,134.31
2015/10/20,133.75
2015/10/21,133.75
2015/10/22,133.15
2015/10/23,135.07
2015/10/24,135.07
2015/10/25,135.07
2015/10/26,134.63
2015/10/27,134.73
2015/10/28,133.54
2015/10/29,132.46
2015/10/30,131.93
2015/10/31,131.93
2015/11/01,131.93
2015/11/02,130.16
2015/11/03,131.41
2015/11/04,134.04
2015/11/05,133.98
2015/11/06,133.15
2015/11/07,133.15
2015/11/08,133.15
2015/11/09,132.1
2015/11/10,130.59
2015/11/11,130.17
2015/11/12,133.24
2015/11/13,130.24
2015/11/14,130.24
2015/11/15,130.24
2015/11/16,127.97
2015/11/17,129.54
2015/11/18,129.04
2015/11/19,130.68
2015/11/20,132.12
2015/11/21,132.12
2015/11/22,132.12
2015/11/23,131.72
